userId	geneSymbol	geneName	entrezgene	gLink
FFAR3	FFAR3	free fatty acid receptor 3	2865	https://www.ncbi.nlm.nih.gov/gene/?term=2865
SPX	SPX	spexin hormone	80763	https://www.ncbi.nlm.nih.gov/gene/?term=80763
HRH1	HRH1	histamine receptor H1	3269	https://www.ncbi.nlm.nih.gov/gene/?term=3269
NMB	NMB	neuromedin B	4828	https://www.ncbi.nlm.nih.gov/gene/?term=4828
DRD4	DRD4	dopamine receptor D4	1815	https://www.ncbi.nlm.nih.gov/gene/?term=1815
HTR7	HTR7	5-hydroxytryptamine receptor 7	3363	https://www.ncbi.nlm.nih.gov/gene/?term=3363
HTR1A	HTR1A	5-hydroxytryptamine receptor 1A	3350	https://www.ncbi.nlm.nih.gov/gene/?term=3350
HTR1B	HTR1B	5-hydroxytryptamine receptor 1B	3351	https://www.ncbi.nlm.nih.gov/gene/?term=3351
OPRK1	OPRK1	opioid receptor kappa 1	4986	https://www.ncbi.nlm.nih.gov/gene/?term=4986
OPRL1	OPRL1	opioid related nociceptin receptor 1	4987	https://www.ncbi.nlm.nih.gov/gene/?term=4987
TAAR6	TAAR6	trace amine associated receptor 6	319100	https://www.ncbi.nlm.nih.gov/gene/?term=319100
HCRT	HCRT	hypocretin neuropeptide precursor	3060	https://www.ncbi.nlm.nih.gov/gene/?term=3060
GALR1	GALR1	galanin receptor 1	2587	https://www.ncbi.nlm.nih.gov/gene/?term=2587
CRHR1	CRHR1	corticotropin releasing hormone receptor 1	1394	https://www.ncbi.nlm.nih.gov/gene/?term=1394
HTR4	HTR4	5-hydroxytryptamine receptor 4	3360	https://www.ncbi.nlm.nih.gov/gene/?term=3360
UCN	UCN	urocortin	7349	https://www.ncbi.nlm.nih.gov/gene/?term=7349
HTR1F	HTR1F	5-hydroxytryptamine receptor 1F	3355	https://www.ncbi.nlm.nih.gov/gene/?term=3355
GALR2	GALR2	galanin receptor 2	8811	https://www.ncbi.nlm.nih.gov/gene/?term=8811
GPR83	GPR83	G protein-coupled receptor 83	10888	https://www.ncbi.nlm.nih.gov/gene/?term=10888
MAOA	MAOA	monoamine oxidase A	4128	https://www.ncbi.nlm.nih.gov/gene/?term=4128
GPR61	GPR61	G protein-coupled receptor 61	83873	https://www.ncbi.nlm.nih.gov/gene/?term=83873
GRP	GRP	gastrin releasing peptide	2922	https://www.ncbi.nlm.nih.gov/gene/?term=2922
OPRD1	OPRD1	opioid receptor delta 1	4985	https://www.ncbi.nlm.nih.gov/gene/?term=4985
MTNR1A	MTNR1A	melatonin receptor 1A	4543	https://www.ncbi.nlm.nih.gov/gene/?term=4543
POMC	POMC	proopiomelanocortin	5443	https://www.ncbi.nlm.nih.gov/gene/?term=5443
HTR6	HTR6	5-hydroxytryptamine receptor 6	3362	https://www.ncbi.nlm.nih.gov/gene/?term=3362
NPBWR2	NPBWR2	neuropeptides B and W receptor 2	2832	https://www.ncbi.nlm.nih.gov/gene/?term=2832
HTR5A	HTR5A	5-hydroxytryptamine receptor 5A	3361	https://www.ncbi.nlm.nih.gov/gene/?term=3361
PENK	PENK	proenkephalin	5179	https://www.ncbi.nlm.nih.gov/gene/?term=5179
NPB	NPB	neuropeptide B	256933	https://www.ncbi.nlm.nih.gov/gene/?term=256933
PMCH	PMCH	pro-melanin concentrating hormone	5367	https://www.ncbi.nlm.nih.gov/gene/?term=5367
MRGPRX3	MRGPRX3	MAS related GPR family member X3	117195	https://www.ncbi.nlm.nih.gov/gene/?term=117195
GPR176	GPR176	G protein-coupled receptor 176	11245	https://www.ncbi.nlm.nih.gov/gene/?term=11245
MCHR1	MCHR1	melanin concentrating hormone receptor 1	2847	https://www.ncbi.nlm.nih.gov/gene/?term=2847
NPFF	NPFF	neuropeptide FF-amide peptide precursor	8620	https://www.ncbi.nlm.nih.gov/gene/?term=8620
CRHR2	CRHR2	corticotropin releasing hormone receptor 2	1395	https://www.ncbi.nlm.nih.gov/gene/?term=1395
PRLHR	PRLHR	prolactin releasing hormone receptor	2834	https://www.ncbi.nlm.nih.gov/gene/?term=2834
OPRPN	OPRPN	opiorphin prepropeptide	58503	https://www.ncbi.nlm.nih.gov/gene/?term=58503
HCRTR1	HCRTR1	hypocretin receptor 1	3061	https://www.ncbi.nlm.nih.gov/gene/?term=3061
PHF24	PHF24	PHD finger protein 24	23349	https://www.ncbi.nlm.nih.gov/gene/?term=23349
ADRA2A	ADRA2A	adrenoceptor alpha 2A	150	https://www.ncbi.nlm.nih.gov/gene/?term=150
ADRA2C	ADRA2C	adrenoceptor alpha 2C	152	https://www.ncbi.nlm.nih.gov/gene/?term=152
HTR2B	HTR2B	5-hydroxytryptamine receptor 2B	3357	https://www.ncbi.nlm.nih.gov/gene/?term=3357
