userId	geneSymbol	geneName	entrezgene	gLink
C1QTNF12	C1QTNF12	C1q and TNF related 12	388581	https://www.ncbi.nlm.nih.gov/gene/?term=388581
LEPROT	LEPROT	leptin receptor overlapping transcript	54741	https://www.ncbi.nlm.nih.gov/gene/?term=54741
DLK1	DLK1	delta like non-canonical Notch ligand 1	8788	https://www.ncbi.nlm.nih.gov/gene/?term=8788
PRKAA2	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2	5563	https://www.ncbi.nlm.nih.gov/gene/?term=5563
SOGA1	SOGA1	suppressor of glucose, autophagy associated 1	140710	https://www.ncbi.nlm.nih.gov/gene/?term=140710
PRKAA1	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1	5562	https://www.ncbi.nlm.nih.gov/gene/?term=5562
PDK4	PDK4	pyruvate dehydrogenase kinase 4	5166	https://www.ncbi.nlm.nih.gov/gene/?term=5166
AKT1S1	AKT1S1	AKT1 substrate 1	84335	https://www.ncbi.nlm.nih.gov/gene/?term=84335
KBTBD2	KBTBD2	kelch repeat and BTB domain containing 2	25948	https://www.ncbi.nlm.nih.gov/gene/?term=25948
INSR	INSR	insulin receptor	3643	https://www.ncbi.nlm.nih.gov/gene/?term=3643
FFAR1	FFAR1	free fatty acid receptor 1	2864	https://www.ncbi.nlm.nih.gov/gene/?term=2864
ANKRD26	ANKRD26	ankyrin repeat domain 26	22852	https://www.ncbi.nlm.nih.gov/gene/?term=22852
GCG	GCG	glucagon	2641	https://www.ncbi.nlm.nih.gov/gene/?term=2641
INS	INS	insulin	3630	https://www.ncbi.nlm.nih.gov/gene/?term=3630
RPS6KB1	RPS6KB1	ribosomal protein S6 kinase B1	6198	https://www.ncbi.nlm.nih.gov/gene/?term=6198
RPTOR	RPTOR	regulatory associated protein of MTOR complex 1	57521	https://www.ncbi.nlm.nih.gov/gene/?term=57521
FLCN	FLCN	folliculin	201163	https://www.ncbi.nlm.nih.gov/gene/?term=201163
SOCS7	SOCS7	suppressor of cytokine signaling 7	30837	https://www.ncbi.nlm.nih.gov/gene/?term=30837
SESN3	SESN3	sestrin 3	143686	https://www.ncbi.nlm.nih.gov/gene/?term=143686
C1QL3	C1QL3	complement C1q like 3	389941	https://www.ncbi.nlm.nih.gov/gene/?term=389941
MTOR	MTOR	mechanistic target of rapamycin kinase	2475	https://www.ncbi.nlm.nih.gov/gene/?term=2475
GSK3A	GSK3A	glycogen synthase kinase 3 alpha	2931	https://www.ncbi.nlm.nih.gov/gene/?term=2931
IGF1	IGF1	insulin like growth factor 1	3479	https://www.ncbi.nlm.nih.gov/gene/?term=3479
SYAP1	SYAP1	synapse associated protein 1	94056	https://www.ncbi.nlm.nih.gov/gene/?term=94056
IGF2	IGF2	insulin like growth factor 2	3481	https://www.ncbi.nlm.nih.gov/gene/?term=3481
PASK	PASK	PAS domain containing serine/threonine kinase	23178	https://www.ncbi.nlm.nih.gov/gene/?term=23178
GCGR	GCGR	glucagon receptor	2642	https://www.ncbi.nlm.nih.gov/gene/?term=2642
MIDN	MIDN	midnolin	90007	https://www.ncbi.nlm.nih.gov/gene/?term=90007
PRKAB1	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1	5564	https://www.ncbi.nlm.nih.gov/gene/?term=5564
ALK	ALK	ALK receptor tyrosine kinase	238	https://www.ncbi.nlm.nih.gov/gene/?term=238
CLMP	CLMP	CXADR like membrane protein	79827	https://www.ncbi.nlm.nih.gov/gene/?term=79827
APPL2	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	55198	https://www.ncbi.nlm.nih.gov/gene/?term=55198
AKT1	AKT1	AKT serine/threonine kinase 1	207	https://www.ncbi.nlm.nih.gov/gene/?term=207
GPER1	GPER1	G protein-coupled estrogen receptor 1	2852	https://www.ncbi.nlm.nih.gov/gene/?term=2852
CAV2	CAV2	caveolin 2	858	https://www.ncbi.nlm.nih.gov/gene/?term=858
PDPK1	PDPK1	3-phosphoinositide dependent protein kinase 1	5170	https://www.ncbi.nlm.nih.gov/gene/?term=5170
CAMK2N1	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	55450	https://www.ncbi.nlm.nih.gov/gene/?term=55450
