userId	geneSymbol	geneName	entrezgene	gLink
ANO1	ANO1	anoctamin 1	55107	https://www.ncbi.nlm.nih.gov/gene/?term=55107
CACNA1H	CACNA1H	calcium voltage-gated channel subunit alpha1 H	8912	https://www.ncbi.nlm.nih.gov/gene/?term=8912
CACNA1C	CACNA1C	calcium voltage-gated channel subunit alpha1 C	775	https://www.ncbi.nlm.nih.gov/gene/?term=775
CACNA1A	CACNA1A	calcium voltage-gated channel subunit alpha1 A	773	https://www.ncbi.nlm.nih.gov/gene/?term=773
GJA4	GJA4	gap junction protein alpha 4	2701	https://www.ncbi.nlm.nih.gov/gene/?term=2701
POPDC2	POPDC2	popeye domain containing 2	64091	https://www.ncbi.nlm.nih.gov/gene/?term=64091
CACNA1I	CACNA1I	calcium voltage-gated channel subunit alpha1 I	8911	https://www.ncbi.nlm.nih.gov/gene/?term=8911
CHRM2	CHRM2	cholinergic receptor muscarinic 2	1129	https://www.ncbi.nlm.nih.gov/gene/?term=1129
TRPC4	TRPC4	transient receptor potential cation channel subfamily C member 4	7223	https://www.ncbi.nlm.nih.gov/gene/?term=7223
ATP2B1	ATP2B1	ATPase plasma membrane Ca2+ transporting 1	490	https://www.ncbi.nlm.nih.gov/gene/?term=490
AKAP7	AKAP7	A-kinase anchoring protein 7	9465	https://www.ncbi.nlm.nih.gov/gene/?term=9465
KCNS3	KCNS3	potassium voltage-gated channel modifier subfamily S member 3	3790	https://www.ncbi.nlm.nih.gov/gene/?term=3790
KCNQ1	KCNQ1	potassium voltage-gated channel subfamily Q member 1	3784	https://www.ncbi.nlm.nih.gov/gene/?term=3784
CACNA1G	CACNA1G	calcium voltage-gated channel subunit alpha1 G	8913	https://www.ncbi.nlm.nih.gov/gene/?term=8913
PIEZO1	PIEZO1	piezo type mechanosensitive ion channel component 1	9780	https://www.ncbi.nlm.nih.gov/gene/?term=9780
CACNB1	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1	782	https://www.ncbi.nlm.nih.gov/gene/?term=782
KCNJ11	KCNJ11	potassium voltage-gated channel subfamily J member 11	3767	https://www.ncbi.nlm.nih.gov/gene/?term=3767
CACNA1D	CACNA1D	calcium voltage-gated channel subunit alpha1 D	776	https://www.ncbi.nlm.nih.gov/gene/?term=776
TRPC6	TRPC6	transient receptor potential cation channel subfamily C member 6	7225	https://www.ncbi.nlm.nih.gov/gene/?term=7225
KCND2	KCND2	potassium voltage-gated channel subfamily D member 2	3751	https://www.ncbi.nlm.nih.gov/gene/?term=3751
STAC2	STAC2	SH3 and cysteine rich domain 2	342667	https://www.ncbi.nlm.nih.gov/gene/?term=342667
KCNE2	KCNE2	potassium voltage-gated channel subfamily E regulatory subunit 2	9992	https://www.ncbi.nlm.nih.gov/gene/?term=9992
CAMK2D	CAMK2D	calcium/calmodulin dependent protein kinase II delta	817	https://www.ncbi.nlm.nih.gov/gene/?term=817
CACNB4	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4	785	https://www.ncbi.nlm.nih.gov/gene/?term=785
KCND1	KCND1	potassium voltage-gated channel subfamily D member 1	3750	https://www.ncbi.nlm.nih.gov/gene/?term=3750
NALCN	NALCN	sodium leak channel, non-selective	259232	https://www.ncbi.nlm.nih.gov/gene/?term=259232
KCNJ3	KCNJ3	potassium voltage-gated channel subfamily J member 3	3760	https://www.ncbi.nlm.nih.gov/gene/?term=3760
PLN	PLN	phospholamban	5350	https://www.ncbi.nlm.nih.gov/gene/?term=5350
P2RX1	P2RX1	purinergic receptor P2X 1	5023	https://www.ncbi.nlm.nih.gov/gene/?term=5023
KCNH5	KCNH5	potassium voltage-gated channel subfamily H member 5	27133	https://www.ncbi.nlm.nih.gov/gene/?term=27133
RGS8	RGS8	regulator of G protein signaling 8	85397	https://www.ncbi.nlm.nih.gov/gene/?term=85397
KCNE4	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4	23704	https://www.ncbi.nlm.nih.gov/gene/?term=23704
CACNA2D4	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4	93589	https://www.ncbi.nlm.nih.gov/gene/?term=93589
CACNA1E	CACNA1E	calcium voltage-gated channel subunit alpha1 E	777	https://www.ncbi.nlm.nih.gov/gene/?term=777
CACNB3	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3	784	https://www.ncbi.nlm.nih.gov/gene/?term=784
TRPC3	TRPC3	transient receptor potential cation channel subfamily C member 3	7222	https://www.ncbi.nlm.nih.gov/gene/?term=7222
KCNK18	KCNK18	potassium two pore domain channel subfamily K member 18	338567	https://www.ncbi.nlm.nih.gov/gene/?term=338567
