userId	geneSymbol	geneName	entrezgene	gLink
JAZF1	JAZF1	JAZF zinc finger 1	221895	https://www.ncbi.nlm.nih.gov/gene/?term=221895
SERTAD2	SERTAD2	SERTA domain containing 2	9792	https://www.ncbi.nlm.nih.gov/gene/?term=9792
PPARGC1A	PPARGC1A	PPARG coactivator 1 alpha	10891	https://www.ncbi.nlm.nih.gov/gene/?term=10891
GPS2	GPS2	G protein pathway suppressor 2	2874	https://www.ncbi.nlm.nih.gov/gene/?term=2874
FOXO1	FOXO1	forkhead box O1	2308	https://www.ncbi.nlm.nih.gov/gene/?term=2308
CLOCK	CLOCK	clock circadian regulator	9575	https://www.ncbi.nlm.nih.gov/gene/?term=9575
NKX1-1	NKX1-1	NK1 homeobox 1	54729	https://www.ncbi.nlm.nih.gov/gene/?term=54729
PPARD	PPARD	peroxisome proliferator activated receptor delta	5467	https://www.ncbi.nlm.nih.gov/gene/?term=5467
NOCT	NOCT	nocturnin	25819	https://www.ncbi.nlm.nih.gov/gene/?term=25819
NR1D1	NR1D1	nuclear receptor subfamily 1 group D member 1	9572	https://www.ncbi.nlm.nih.gov/gene/?term=9572
FGF21	FGF21	fibroblast growth factor 21	26291	https://www.ncbi.nlm.nih.gov/gene/?term=26291
CEBPA	CEBPA	CCAAT enhancer binding protein alpha	1050	https://www.ncbi.nlm.nih.gov/gene/?term=1050
LYRM1	LYRM1	LYR motif containing 1	57149	https://www.ncbi.nlm.nih.gov/gene/?term=57149
FAM120B	FAM120B	family with sequence similarity 120B	84498	https://www.ncbi.nlm.nih.gov/gene/?term=84498
PWWP2B	PWWP2B	PWWP domain containing 2B	170394	https://www.ncbi.nlm.nih.gov/gene/?term=170394
VSTM2A	VSTM2A	V-set and transmembrane domain containing 2A	222008	https://www.ncbi.nlm.nih.gov/gene/?term=222008
PPARA	PPARA	peroxisome proliferator activated receptor alpha	5465	https://www.ncbi.nlm.nih.gov/gene/?term=5465
PER3	PER3	period circadian regulator 3	8863	https://www.ncbi.nlm.nih.gov/gene/?term=8863
AAMDC	AAMDC	adipogenesis associated Mth938 domain containing	28971	https://www.ncbi.nlm.nih.gov/gene/?term=28971
PER2	PER2	period circadian regulator 2	8864	https://www.ncbi.nlm.nih.gov/gene/?term=8864
PER1	PER1	period circadian regulator 1	5187	https://www.ncbi.nlm.nih.gov/gene/?term=5187
CRY1	CRY1	cryptochrome circadian regulator 1	1407	https://www.ncbi.nlm.nih.gov/gene/?term=1407
CRY2	CRY2	cryptochrome circadian regulator 2	1408	https://www.ncbi.nlm.nih.gov/gene/?term=1408
CTBP2	CTBP2	C-terminal binding protein 2	1488	https://www.ncbi.nlm.nih.gov/gene/?term=1488
NCOA2	NCOA2	nuclear receptor coactivator 2	10499	https://www.ncbi.nlm.nih.gov/gene/?term=10499
NCOA1	NCOA1	nuclear receptor coactivator 1	8648	https://www.ncbi.nlm.nih.gov/gene/?term=8648
CTBP1	CTBP1	C-terminal binding protein 1	1487	https://www.ncbi.nlm.nih.gov/gene/?term=1487
HCFC1	HCFC1	host cell factor C1	3054	https://www.ncbi.nlm.nih.gov/gene/?term=3054
ZNF516	ZNF516	zinc finger protein 516	9658	https://www.ncbi.nlm.nih.gov/gene/?term=9658
FOXK2	FOXK2	forkhead box K2	3607	https://www.ncbi.nlm.nih.gov/gene/?term=3607
MLXIPL	MLXIPL	MLX interacting protein like	51085	https://www.ncbi.nlm.nih.gov/gene/?term=51085
SIRT3	SIRT3	sirtuin 3	23410	https://www.ncbi.nlm.nih.gov/gene/?term=23410
SUV39H1	SUV39H1	suppressor of variegation 3-9 homolog 1	6839	https://www.ncbi.nlm.nih.gov/gene/?term=6839
ID2	ID2	inhibitor of DNA binding 2	3398	https://www.ncbi.nlm.nih.gov/gene/?term=3398
RORA	RORA	RAR related orphan receptor A	6095	https://www.ncbi.nlm.nih.gov/gene/?term=6095
ZFP69	ZFP69	ZFP69 zinc finger protein	339559	https://www.ncbi.nlm.nih.gov/gene/?term=339559
ARID5B	ARID5B	AT-rich interaction domain 5B	84159	https://www.ncbi.nlm.nih.gov/gene/?term=84159
EDF1	EDF1	endothelial differentiation related factor 1	8721	https://www.ncbi.nlm.nih.gov/gene/?term=8721
