userId	geneSymbol	geneName	entrezgene	gLink
PTGER2	PTGER2	prostaglandin E receptor 2	5732	https://www.ncbi.nlm.nih.gov/gene/?term=5732
APLNR	APLNR	apelin receptor	187	https://www.ncbi.nlm.nih.gov/gene/?term=187
MAS1	MAS1	MAS1 proto-oncogene, G protein-coupled receptor	4142	https://www.ncbi.nlm.nih.gov/gene/?term=4142
SPEG	SPEG	striated muscle enriched protein kinase	10290	https://www.ncbi.nlm.nih.gov/gene/?term=10290
AGTRAP	AGTRAP	angiotensin II receptor associated protein	57085	https://www.ncbi.nlm.nih.gov/gene/?term=57085
AGTR2	AGTR2	angiotensin II receptor type 2	186	https://www.ncbi.nlm.nih.gov/gene/?term=186
UTS2B	UTS2B	urotensin 2B	257313	https://www.ncbi.nlm.nih.gov/gene/?term=257313
NPPA	NPPA	natriuretic peptide A	4878	https://www.ncbi.nlm.nih.gov/gene/?term=4878
ARHGAP42	ARHGAP42	Rho GTPase activating protein 42	143872	https://www.ncbi.nlm.nih.gov/gene/?term=143872
GPR180	GPR180	G protein-coupled receptor 180	160897	https://www.ncbi.nlm.nih.gov/gene/?term=160897
ADCY6	ADCY6	adenylate cyclase 6	112	https://www.ncbi.nlm.nih.gov/gene/?term=112
ADRA1B	ADRA1B	adrenoceptor alpha 1B	147	https://www.ncbi.nlm.nih.gov/gene/?term=147
GPR25	GPR25	G protein-coupled receptor 25	2848	https://www.ncbi.nlm.nih.gov/gene/?term=2848
PRKG1	PRKG1	protein kinase cGMP-dependent 1	5592	https://www.ncbi.nlm.nih.gov/gene/?term=5592
SCPEP1	SCPEP1	serine carboxypeptidase 1	59342	https://www.ncbi.nlm.nih.gov/gene/?term=59342
TBXA2R	TBXA2R	thromboxane A2 receptor	6915	https://www.ncbi.nlm.nih.gov/gene/?term=6915
RGS2	RGS2	regulator of G protein signaling 2	5997	https://www.ncbi.nlm.nih.gov/gene/?term=5997
PTGER1	PTGER1	prostaglandin E receptor 1	5731	https://www.ncbi.nlm.nih.gov/gene/?term=5731
JCAD	JCAD	junctional cadherin 5 associated	57608	https://www.ncbi.nlm.nih.gov/gene/?term=57608
GRK2	GRK2	G protein-coupled receptor kinase 2	156	https://www.ncbi.nlm.nih.gov/gene/?term=156
YWHAG	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	7532	https://www.ncbi.nlm.nih.gov/gene/?term=7532
GRK4	GRK4	G protein-coupled receptor kinase 4	2868	https://www.ncbi.nlm.nih.gov/gene/?term=2868
AKAP13	AKAP13	A-kinase anchoring protein 13	11214	https://www.ncbi.nlm.nih.gov/gene/?term=11214
NISCH	NISCH	nischarin	11188	https://www.ncbi.nlm.nih.gov/gene/?term=11188
ENPEP	ENPEP	glutamyl aminopeptidase	2028	https://www.ncbi.nlm.nih.gov/gene/?term=2028
HSPB6	HSPB6	heat shock protein family B (small) member 6	126393	https://www.ncbi.nlm.nih.gov/gene/?term=126393
GNA11	GNA11	G protein subunit alpha 11	2767	https://www.ncbi.nlm.nih.gov/gene/?term=2767
PTGER4	PTGER4	prostaglandin E receptor 4	5734	https://www.ncbi.nlm.nih.gov/gene/?term=5734
NOSTRIN	NOSTRIN	nitric oxide synthase trafficking	115677	https://www.ncbi.nlm.nih.gov/gene/?term=115677
GNAI3	GNAI3	G protein subunit alpha i3	2773	https://www.ncbi.nlm.nih.gov/gene/?term=2773
PTGIR	PTGIR	prostaglandin I2 receptor	5739	https://www.ncbi.nlm.nih.gov/gene/?term=5739
PRCP	PRCP	prolylcarboxypeptidase	5547	https://www.ncbi.nlm.nih.gov/gene/?term=5547
ADRA1D	ADRA1D	adrenoceptor alpha 1D	146	https://www.ncbi.nlm.nih.gov/gene/?term=146
PRKACA	PRKACA	protein kinase cAMP-activated catalytic subunit alpha	5566	https://www.ncbi.nlm.nih.gov/gene/?term=5566
ADORA1	ADORA1	adenosine A1 receptor	134	https://www.ncbi.nlm.nih.gov/gene/?term=134
APLN	APLN	apelin	8862	https://www.ncbi.nlm.nih.gov/gene/?term=8862
NOS1AP	NOS1AP	nitric oxide synthase 1 adaptor protein	9722	https://www.ncbi.nlm.nih.gov/gene/?term=9722
MYLK	MYLK	myosin light chain kinase	4638	https://www.ncbi.nlm.nih.gov/gene/?term=4638
ADM	ADM	adrenomedullin	133	https://www.ncbi.nlm.nih.gov/gene/?term=133
NR3C2	NR3C2	nuclear receptor subfamily 3 group C member 2	4306	https://www.ncbi.nlm.nih.gov/gene/?term=4306
CAV3	CAV3	caveolin 3	859	https://www.ncbi.nlm.nih.gov/gene/?term=859
OXSR1	OXSR1	oxidative stress responsive kinase 1	9943	https://www.ncbi.nlm.nih.gov/gene/?term=9943
SMTN	SMTN	smoothelin	6525	https://www.ncbi.nlm.nih.gov/gene/?term=6525
CNN1	CNN1	calponin 1	1264	https://www.ncbi.nlm.nih.gov/gene/?term=1264
GPR182	GPR182	G protein-coupled receptor 182	11318	https://www.ncbi.nlm.nih.gov/gene/?term=11318
PRKCE	PRKCE	protein kinase C epsilon	5581	https://www.ncbi.nlm.nih.gov/gene/?term=5581
