userId	geneSymbol	geneName	entrezgene	gLink
LAMP5	LAMP5	lysosomal associated membrane protein family member 5	24141	https://www.ncbi.nlm.nih.gov/gene/?term=24141
GABBR1	GABBR1	gamma-aminobutyric acid type B receptor subunit 1	2550	https://www.ncbi.nlm.nih.gov/gene/?term=2550
GABBR2	GABBR2	gamma-aminobutyric acid type B receptor subunit 2	9568	https://www.ncbi.nlm.nih.gov/gene/?term=9568
GRM2	GRM2	glutamate metabotropic receptor 2	2912	https://www.ncbi.nlm.nih.gov/gene/?term=2912
GRM4	GRM4	glutamate metabotropic receptor 4	2914	https://www.ncbi.nlm.nih.gov/gene/?term=2914
SHISA7	SHISA7	shisa family member 7	729956	https://www.ncbi.nlm.nih.gov/gene/?term=729956
GRM1	GRM1	glutamate metabotropic receptor 1	2911	https://www.ncbi.nlm.nih.gov/gene/?term=2911
GRIK3	GRIK3	glutamate ionotropic receptor kainate type subunit 3	2899	https://www.ncbi.nlm.nih.gov/gene/?term=2899
GRIN2C	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C	2905	https://www.ncbi.nlm.nih.gov/gene/?term=2905
LYPD1	LYPD1	LY6/PLAUR domain containing 1	116372	https://www.ncbi.nlm.nih.gov/gene/?term=116372
NETO1	NETO1	neuropilin and tolloid like 1	81832	https://www.ncbi.nlm.nih.gov/gene/?term=81832
GABRA4	GABRA4	gamma-aminobutyric acid type A receptor alpha4 subunit	2557	https://www.ncbi.nlm.nih.gov/gene/?term=2557
GRIK2	GRIK2	glutamate ionotropic receptor kainate type subunit 2	2898	https://www.ncbi.nlm.nih.gov/gene/?term=2898
PRRT1	PRRT1	proline rich transmembrane protein 1	80863	https://www.ncbi.nlm.nih.gov/gene/?term=80863
DLG3	DLG3	discs large MAGUK scaffold protein 3	1741	https://www.ncbi.nlm.nih.gov/gene/?term=1741
IGSF21	IGSF21	immunoglobin superfamily member 21	84966	https://www.ncbi.nlm.nih.gov/gene/?term=84966
GABRA6	GABRA6	gamma-aminobutyric acid type A receptor alpha6 subunit	2559	https://www.ncbi.nlm.nih.gov/gene/?term=2559
GRM6	GRM6	glutamate metabotropic receptor 6	2916	https://www.ncbi.nlm.nih.gov/gene/?term=2916
GRM3	GRM3	glutamate metabotropic receptor 3	2913	https://www.ncbi.nlm.nih.gov/gene/?term=2913
PLCL1	PLCL1	phospholipase C like 1 (inactive)	5334	https://www.ncbi.nlm.nih.gov/gene/?term=5334
GRM5	GRM5	glutamate metabotropic receptor 5	2915	https://www.ncbi.nlm.nih.gov/gene/?term=2915
SRGAP2C	SRGAP2C	SLIT-ROBO Rho GTPase activating protein 2C	653464	https://www.ncbi.nlm.nih.gov/gene/?term=653464
INSYN1	INSYN1	inhibitory synaptic factor 1	388135	https://www.ncbi.nlm.nih.gov/gene/?term=388135
GABRR2	GABRR2	gamma-aminobutyric acid type A receptor rho2 subunit	2570	https://www.ncbi.nlm.nih.gov/gene/?term=2570
GABRA3	GABRA3	gamma-aminobutyric acid type A receptor alpha3 subunit	2556	https://www.ncbi.nlm.nih.gov/gene/?term=2556
GABRD	GABRD	gamma-aminobutyric acid type A receptor delta subunit	2563	https://www.ncbi.nlm.nih.gov/gene/?term=2563
GRIA3	GRIA3	glutamate ionotropic receptor AMPA type subunit 3	2892	https://www.ncbi.nlm.nih.gov/gene/?term=2892
HTR3D	HTR3D	5-hydroxytryptamine receptor 3D	200909	https://www.ncbi.nlm.nih.gov/gene/?term=200909
GRIA1	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	2890	https://www.ncbi.nlm.nih.gov/gene/?term=2890
PRRT2	PRRT2	proline rich transmembrane protein 2	112476	https://www.ncbi.nlm.nih.gov/gene/?term=112476
GPR158	GPR158	G protein-coupled receptor 158	57512	https://www.ncbi.nlm.nih.gov/gene/?term=57512
GLRA1	GLRA1	glycine receptor alpha 1	2741	https://www.ncbi.nlm.nih.gov/gene/?term=2741
LRRC7	LRRC7	leucine rich repeat containing 7	57554	https://www.ncbi.nlm.nih.gov/gene/?term=57554
TMEM25	TMEM25	transmembrane protein 25	84866	https://www.ncbi.nlm.nih.gov/gene/?term=84866
NETO2	NETO2	neuropilin and tolloid like 2	81831	https://www.ncbi.nlm.nih.gov/gene/?term=81831
BEGAIN	BEGAIN	brain enriched guanylate kinase associated	57596	https://www.ncbi.nlm.nih.gov/gene/?term=57596
GABRG1	GABRG1	gamma-aminobutyric acid type A receptor gamma1 subunit	2565	https://www.ncbi.nlm.nih.gov/gene/?term=2565
SHANK3	SHANK3	SH3 and multiple ankyrin repeat domains 3	85358	https://www.ncbi.nlm.nih.gov/gene/?term=85358
ASIC1	ASIC1	acid sensing ion channel subunit 1	41	https://www.ncbi.nlm.nih.gov/gene/?term=41
GRIN3A	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	116443	https://www.ncbi.nlm.nih.gov/gene/?term=116443
LYNX1	LYNX1	Ly6/neurotoxin 1	66004	https://www.ncbi.nlm.nih.gov/gene/?term=66004
GRIN3B	GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B	116444	https://www.ncbi.nlm.nih.gov/gene/?term=116444
GRIP2	GRIP2	glutamate receptor interacting protein 2	80852	https://www.ncbi.nlm.nih.gov/gene/?term=80852
